Temperature,Humidity,SoilMoisture,PredictedYield,DiseaseRiskScore
21.64,41.42,60.65,18.0,13.45
28.37,47.43,38.71,18.0,38.27
18.55,92.97,66.44,18.0,52.26
26.07,70.22,66.38,18.0,43.88
27.25,93.12,51.28,18.0,60.58
16.19,63.79,78.56,18.0,24.09
22.74,57.15,27.53,18.0,27.99
18.09,67.84,21.02,18.0,30.31
16.46,64.17,66.21,18.0,18.78
37.77,45.81,68.43,18.0,36.01
22.41,75.25,27.21,18.0,49.02
33.63,51.88,35.93,18.0,37.34
20.86,74.08,21.05,18.0,43.43
30.67,75.76,37.6,18.0,51.77
32.49,48.36,66.39,18.0,34.16
28.7,43.37,51.08,18.0,22.33
25.85,82.94,40.89,18.0,48.43
24.47,65.29,42.3,18.0,36.94
23.02,43.2,20.08,18.0,8.42
36.38,94.72,37.99,18.0,74.46
34.1,43.18,58.79,18.0,28.75
37.2,78.23,78.45,18.0,65.19
17.86,94.1,70.82,18.0,46.97
31.81,53.15,21.42,18.0,39.15
36.58,47.82,73.91,18.0,38.12
19.17,46.68,66.99,18.0,7.98
16.53,56.68,66.82,18.0,9.47
32.05,45.56,47.48,18.0,26.56
28.21,78.07,43.88,18.0,49.61
34.36,43.43,38.17,18.0,28.94
18.21,68.02,23.94,18.0,27.85
33.29,94.82,33.69,18.0,63.66
19.64,84.77,34.8,18.0,44.81
18.76,73.84,49.04,18.0,34.14
18.78,56.84,64.85,18.0,23.41
33.74,74.31,48.43,18.0,52.14
30.3,68.99,23.47,18.0,54.7
27.03,63.43,77.47,18.0,27.44
23.25,47.19,76.56,18.0,23.86
35.18,88.76,67.11,18.0,69.52
24.03,64.74,79.48,18.0,38.56
33.78,50.7,52.67,18.0,34.63
25.1,60.23,77.77,18.0,37.26
23.67,62.78,24.54,18.0,30.08
25.64,85.51,41.94,18.0,49.76
21.93,80.35,33.52,18.0,52.82
32.2,82.31,31.75,18.0,60.33
26.56,40.61,28.45,18.0,16.74
20.34,62.89,57.34,18.0,33.95
35.69,66.47,66.88,18.0,45.89
23.83,41.06,54.7,18.0,15.45
27.5,54.29,28.82,18.0,26.35
35.85,81.82,68.67,18.0,64.55
29.36,47.54,58.16,18.0,25.94
17.69,69.44,43.29,18.0,22.77
36.62,51.84,60.45,18.0,35.06
29.44,40.67,35.59,18.0,26.19
22.7,53.27,40.71,18.0,26.54
18.2,93.67,75.05,18.0,52.66
33.26,84.08,37.43,18.0,65.11
29.26,92.78,48.2,18.0,65.11
27.27,66.83,73.41,18.0,47.18
35.56,46.04,62.46,18.0,31.3
33.14,70.14,23.73,18.0,52.22
18.49,64.99,28.84,18.0,33.0
22.17,86.44,20.47,18.0,47.68
20.72,45.39,57.86,18.0,20.15
32.11,66.85,46.86,18.0,39.08
15.77,48.25,28.06,18.0,16.66
28.11,57.86,77.48,18.0,31.47
32.54,80.55,51.78,18.0,58.53
35.17,66.18,34.51,18.0,40.65
22.87,60.67,50.04,18.0,26.78
33.89,61.7,60.78,18.0,39.16
17.54,65.27,24.57,18.0,23.25
34.47,83.18,36.48,18.0,63.96
17.93,89.06,68.42,18.0,53.22
24.14,92.54,47.58,18.0,60.72
33.34,83.28,52.79,18.0,64.8
18.45,57.35,45.97,18.0,14.79
20.27,77.85,22.63,18.0,36.88
31.61,64.07,29.94,18.0,52.54
31.56,54.01,46.73,18.0,30.66
29.75,86.25,32.55,18.0,69.56
30.96,42.11,23.0,17.88,21.52
27.48,89.6,70.62,18.0,61.38
20.79,65.38,78.87,18.0,35.98
22.95,75.05,67.59,18.0,48.59
19.18,76.26,71.23,18.0,37.86
35.89,89.23,34.52,18.0,70.07
28.42,75.02,77.64,18.0,49.06
24.22,73.77,31.82,18.0,44.41
25.63,43.67,77.09,18.0,21.65
36.79,68.51,79.69,18.0,54.36
18.53,48.26,62.7,18.0,15.2
28.48,80.56,78.87,18.0,62.65
26.64,68.17,54.17,18.0,42.69
29.06,77.41,35.57,18.0,53.91
15.42,42.29,46.22,18.0,5.0
35.06,44.66,55.61,18.0,17.25
36.44,79.4,24.38,18.0,65.72
28.0,43.96,57.34,18.0,20.08
31.02,43.92,78.87,18.0,21.89
36.22,40.67,31.41,16.79,29.5
31.27,92.61,67.56,18.0,68.74
18.51,80.56,74.47,18.0,47.09
28.25,59.43,76.62,18.0,35.38
28.95,56.31,77.61,18.0,29.29
24.76,59.23,51.29,18.0,35.16
31.94,82.61,78.64,18.0,59.74
36.49,76.38,65.44,18.0,63.73
36.29,50.19,29.7,18.0,34.64
25.37,49.58,48.61,18.0,18.98
17.6,45.41,63.1,18.0,8.74
37.65,76.32,34.84,18.0,62.62
34.29,82.04,58.44,18.0,65.78
17.87,54.58,60.0,18.0,15.65
36.18,41.15,29.76,16.81,19.49
35.01,44.52,53.91,18.0,28.04
26.93,93.23,66.3,18.0,67.93
28.6,56.25,49.93,18.0,31.02
24.18,82.31,20.73,18.0,49.2
16.26,74.36,20.54,18.0,37.81
22.71,61.01,41.42,18.0,25.59
33.47,51.31,75.57,18.0,26.66
15.11,46.68,33.72,18.0,5.41
22.67,73.83,58.06,18.0,38.33
24.16,82.6,33.32,18.0,45.85
27.36,75.41,39.3,18.0,47.44
36.16,69.17,70.88,18.0,56.57
22.97,42.31,63.73,18.0,12.44
22.98,93.27,25.72,18.0,60.37
31.96,83.93,45.72,18.0,71.13
25.4,56.11,21.75,18.0,26.49
20.17,93.9,48.85,18.0,57.13
25.41,73.1,59.75,18.0,41.12
18.24,72.03,27.11,18.0,29.12
19.06,81.14,37.33,18.0,39.77
26.46,84.65,43.87,18.0,53.15
24.64,76.11,75.17,18.0,47.19
36.04,47.05,79.6,18.0,45.6
23.34,58.6,22.69,18.0,24.2
28.35,91.04,65.66,18.0,61.74
29.54,52.35,42.3,18.0,29.88
15.3,60.47,43.55,18.0,20.98
30.26,63.76,65.26,18.0,42.83
19.09,64.17,75.11,18.0,33.73
37.1,73.71,77.06,18.0,47.35
18.42,91.87,54.63,18.0,39.68
24.54,53.24,41.43,18.0,21.99
16.96,46.68,67.25,18.0,14.12
37.93,50.86,35.06,17.76,31.95
26.55,88.78,53.84,18.0,44.37
28.69,75.52,41.51,18.0,53.01
16.54,55.72,59.4,18.0,17.53
32.25,84.88,34.42,18.0,57.85
19.83,87.38,31.5,18.0,44.44
35.66,86.56,75.09,18.0,64.42
19.72,90.54,26.11,18.0,52.65
19.39,53.87,50.36,18.0,15.2
15.84,81.53,33.25,18.0,41.32
25.86,65.33,22.34,18.0,22.92
27.99,86.31,22.16,18.0,54.76
16.51,80.07,30.51,18.0,32.77
32.84,82.7,72.01,18.0,60.81
25.43,76.09,36.95,18.0,43.72
27.06,49.76,77.03,18.0,28.59
25.14,69.98,54.9,18.0,31.18
24.22,94.16,46.2,18.0,61.48
27.87,91.56,54.81,18.0,66.45
18.57,42.37,51.0,18.0,16.1
19.18,49.06,65.53,18.0,11.29
34.82,47.25,36.95,18.0,34.06
36.76,79.93,41.18,18.0,55.66
23.59,84.98,73.65,18.0,40.13
21.23,51.74,76.79,18.0,23.02
29.81,67.82,73.55,18.0,44.58
24.4,86.24,45.17,18.0,60.19
15.58,80.3,66.82,18.0,30.53
18.59,69.82,48.58,18.0,34.4
31.47,72.47,49.85,18.0,60.34
30.16,67.96,32.28,18.0,47.28
15.62,56.37,55.47,18.0,17.07
20.11,71.08,31.17,18.0,34.95
20.31,77.89,39.89,18.0,33.52
30.45,88.03,71.3,18.0,70.6
15.45,75.0,32.42,18.0,29.35
17.39,81.86,24.27,18.0,43.7
33.4,48.8,24.14,17.79,24.19
19.11,65.39,76.45,18.0,22.54
30.01,40.51,50.42,18.0,27.22
20.48,53.57,44.56,18.0,17.74
17.29,79.96,68.65,18.0,46.57
20.59,94.55,70.15,18.0,56.49
31.61,45.45,39.93,18.0,17.42
34.68,62.08,61.62,18.0,50.21
34.1,84.0,66.27,18.0,61.96
24.14,51.22,59.28,18.0,25.61
30.37,70.53,29.1,18.0,47.92
19.71,80.32,72.55,18.0,35.09
21.74,73.88,52.35,18.0,40.42
35.62,50.34,36.95,18.0,47.27
15.3,59.55,45.51,18.0,20.62
16.97,83.11,22.25,18.0,41.47
19.78,70.48,27.67,18.0,39.32
15.61,40.29,65.93,18.0,5.0
19.17,81.85,20.0,18.0,44.54
28.41,41.94,44.99,18.0,13.8
24.69,81.02,51.35,18.0,51.1
35.53,51.14,23.28,18.0,42.08
33.8,92.69,78.38,18.0,68.25
22.86,60.24,33.57,18.0,35.77
20.97,57.98,38.25,18.0,23.67
23.73,48.19,38.24,18.0,14.4
28.58,56.81,33.82,18.0,37.98
21.17,88.22,20.09,18.0,50.44
29.36,94.8,63.76,18.0,72.34
24.42,60.26,78.01,18.0,29.24
27.7,64.67,33.46,18.0,38.69
25.03,79.71,59.78,18.0,51.66
21.77,88.74,64.51,18.0,54.6
36.81,72.62,70.91,18.0,48.13
32.56,61.53,45.36,18.0,36.88
18.22,62.69,38.18,18.0,29.48
34.97,78.26,39.52,18.0,60.17
26.21,40.18,62.76,18.0,12.17
35.57,74.08,69.01,18.0,51.02
33.4,59.55,30.9,18.0,36.37
24.78,83.68,42.26,18.0,42.36
15.52,45.11,74.12,18.0,5.0
21.18,72.35,68.4,18.0,34.48
27.46,66.45,79.09,18.0,35.46
29.57,75.33,65.25,18.0,50.78
20.93,43.57,43.59,18.0,12.8
18.21,71.9,55.44,18.0,43.65
34.2,70.88,59.66,18.0,45.56
37.64,70.84,24.71,18.0,63.36
27.09,73.19,52.67,18.0,50.81
18.95,77.21,62.56,18.0,35.08
21.26,84.27,30.04,18.0,49.43
15.42,54.84,66.84,18.0,11.75
36.03,85.38,55.03,18.0,69.61
17.71,67.4,77.13,18.0,35.99
28.26,44.24,22.55,18.0,24.18
21.3,43.22,35.92,18.0,13.69
27.75,58.38,56.09,18.0,31.19
29.98,83.17,37.79,18.0,51.37
34.08,78.92,62.87,18.0,59.23
19.75,83.37,65.54,18.0,51.66
15.25,68.45,26.15,18.0,18.56
18.15,64.21,50.83,18.0,20.84
35.7,48.11,50.53,18.0,35.0
35.1,58.05,42.16,18.0,37.7
28.74,63.87,75.98,18.0,35.66
28.81,44.87,69.65,18.0,20.33
30.3,52.13,61.83,18.0,24.15
19.03,72.9,62.86,18.0,30.3
36.03,80.46,47.7,18.0,67.73
24.63,94.91,75.26,18.0,55.94
23.81,91.32,61.68,18.0,50.16
26.94,75.34,63.74,18.0,44.55
16.08,63.17,71.7,18.0,26.13
18.82,74.99,36.44,18.0,35.81
31.97,83.21,68.42,18.0,59.1
16.9,46.51,31.71,18.0,8.62
28.87,62.54,40.72,18.0,29.86
20.64,86.19,40.14,18.0,51.82
23.95,61.11,78.71,18.0,32.79
21.64,71.45,71.39,18.0,35.21
23.18,72.33,62.07,18.0,45.09
31.54,50.15,63.62,18.0,25.16
21.83,59.92,53.72,18.0,32.66
28.03,58.4,76.83,18.0,34.49
25.95,41.44,49.78,18.0,13.91
30.26,41.33,42.83,18.0,21.02
36.55,85.74,29.78,17.98,69.15
31.85,55.02,67.17,18.0,41.73
19.94,68.49,64.07,18.0,26.97
15.72,56.43,43.06,18.0,12.06
21.03,91.74,21.51,18.0,60.08
28.69,54.26,70.34,18.0,27.84
16.18,63.63,20.69,18.0,27.53
26.42,88.0,62.22,18.0,67.02
28.73,86.31,78.22,18.0,57.99
22.69,50.24,46.26,18.0,22.74
32.73,84.15,34.1,18.0,57.49
17.45,65.2,62.29,18.0,29.88
16.73,66.56,69.03,18.0,27.4
31.75,47.34,52.79,18.0,30.88
26.4,44.43,78.02,18.0,15.67
30.83,80.04,23.1,18.0,48.74
25.0,67.31,50.29,18.0,40.38
20.67,64.03,63.11,18.0,18.92
33.84,80.12,71.76,18.0,59.46
33.39,82.1,30.76,18.0,66.96
30.98,48.74,68.0,18.0,29.75
21.26,73.56,53.16,18.0,48.42
28.58,47.44,43.79,18.0,29.6
23.3,81.33,27.9,18.0,45.13
17.11,76.13,71.92,18.0,35.73
36.1,92.61,29.44,17.33,75.11
18.15,43.79,38.59,18.0,5.0
36.86,43.14,37.4,18.0,26.66
25.26,55.52,72.28,18.0,24.69
